N,Grafo,Aciertos0,[[0, 'A', 'B', 'C'], ['A', [0, 0], [-35, 35], [-28, 39]], ['B', [-35, 35], [0, 0], [-31, 43]], ['C', [-39, 28], [-43, 31], [0, 0]]],802
1,[[0, 'B', 'A', 'B', 'C', 'D', 'C', 'C', 'E', 'E'], ['B', [0, 0], [-35, 35], [-38, 38], [-31, 43], [-31, 39], [-31, 43], [-31, 43], [-29, 44], [-29, 44]], ['A', [-35, 35], [0, 0], [-35, 35], [-28, 39], [-28, 35], [-28, 39], [-28, 39], [-28, 42], [-28, 42]], ['B', [-38, 38], [-35, 35], [0, 0], [-31, 43], [-31, 39], [-31, 43], [-31, 43], [-29, 44], [-29, 44]], ['C', [-43, 31], [-39, 28], [-43, 31], [0, 0], [-36, 32], [-36, 36], [-36, 36], [-34, 37], [-34, 37]], ['D', [-39, 31], [-35, 28], [-39, 31], [-32, 36], [0, 0], [-32, 36], [-32, 36], [-30, 37], [-30, 37]], ['C', [-43, 31], [-39, 28], [-43, 31], [-36, 36], [-36, 32], [0, 0], [-36, 36], [-34, 37], [-34, 37]], ['C', [-43, 31], [-39, 28], [-43, 31], [-36, 36], [-36, 32], [-36, 36], [0, 0], [-34, 37], [-34, 37]], ['E', [-44, 29], [-42, 28], [-44, 29], [-37, 34], [-37, 30], [-37, 34], [-37, 34], [0, 0], [-37, 37]], ['E', [-44, 29], [-42, 28], [-44, 29], [-37, 34], [-37, 30], [-37, 34], [-37, 34], [-37, 37], [0, 0]]],472
2,[[0, 'E', 'A', 'C', 'A', 'B', 'C', 'E'], ['E', [0, 0], [-42, 28], [-37, 34], [-42, 28], [-44, 29], [-37, 34], [-37, 37]], ['A', [-28, 42], [0, 0], [-28, 39], [-33, 33], [-35, 35], [-28, 39], [-28, 42]], ['C', [-34, 37], [-39, 28], [0, 0], [-39, 28], [-43, 31], [-36, 36], [-34, 37]], ['A', [-28, 42], [-33, 33], [-28, 39], [0, 0], [-35, 35], [-28, 39], [-28, 42]], ['B', [-29, 44], [-35, 35], [-31, 43], [-35, 35], [0, 0], [-31, 43], [-29, 44]], ['C', [-34, 37], [-39, 28], [-36, 36], [-39, 28], [-43, 31], [0, 0], [-34, 37]], ['E', [-37, 37], [-42, 28], [-37, 34], [-42, 28], [-44, 29], [-37, 34], [0, 0]]],349
3,[[0, 'C', 'B', 'A', 'B', 'C', 'D', 'C', 'C', 'E', 'E'], ['C', [0, 0], [-43, 31], [-39, 28], [-43, 31], [-36, 36], [-36, 32], [-36, 36], [-36, 36], [-34, 37], [-34, 37]], ['B', [-31, 43], [0, 0], [-35, 35], [-38, 38], [-31, 43], [-31, 39], [-31, 43], [-31, 43], [-29, 44], [-29, 44]], ['A', [-28, 39], [-35, 35], [0, 0], [-35, 35], [-28, 39], [-28, 35], [-28, 39], [-28, 39], [-28, 42], [-28, 42]], ['B', [-31, 43], [-38, 38], [-35, 35], [0, 0], [-31, 43], [-31, 39], [-31, 43], [-31, 43], [-29, 44], [-29, 44]], ['C', [-36, 36], [-43, 31], [-39, 28], [-43, 31], [0, 0], [-36, 32], [-36, 36], [-36, 36], [-34, 37], [-34, 37]], ['D', [-32, 36], [-39, 31], [-35, 28], [-39, 31], [-32, 36], [0, 0], [-32, 36], [-32, 36], [-30, 37], [-30, 37]], ['C', [-36, 36], [-43, 31], [-39, 28], [-43, 31], [-36, 36], [-36, 32], [0, 0], [-36, 36], [-34, 37], [-34, 37]], ['C', [-36, 36], [-43, 31], [-39, 28], [-43, 31], [-36, 36], [-36, 32], [-36, 36], [0, 0], [-34, 37], [-34, 37]], ['E', [-37, 34], [-44, 29], [-42, 28], [-44, 29], [-37, 34], [-37, 30], [-37, 34], [-37, 34], [0, 0], [-37, 37]], ['E', [-37, 34], [-44, 29], [-42, 28], [-44, 29], [-37, 34], [-37, 30], [-37, 34], [-37, 34], [-37, 37], [0, 0]]],336
4,[[0, 'A', 'B', 'C'], ['A', [0, 0], [-35, 35], [-28, 39]], ['B', [-35, 35], [0, 0], [-31, 43]], ['C', [-39, 28], [-43, 31], [0, 0]]],802
5,[[0, 'B', 'A', 'B', 'C', 'D', 'C', 'C', 'E', 'E'], ['B', [0, 0], [-35, 35], [-38, 38], [-31, 43], [-31, 39], [-31, 43], [-31, 43], [-29, 44], [-29, 44]], ['A', [-35, 35], [0, 0], [-35, 35], [-28, 39], [-28, 35], [-28, 39], [-28, 39], [-28, 42], [-28, 42]], ['B', [-38, 38], [-35, 35], [0, 0], [-31, 43], [-31, 39], [-31, 43], [-31, 43], [-29, 44], [-29, 44]], ['C', [-43, 31], [-39, 28], [-43, 31], [0, 0], [-36, 32], [-36, 36], [-36, 36], [-34, 37], [-34, 37]], ['D', [-39, 31], [-35, 28], [-39, 31], [-32, 36], [0, 0], [-32, 36], [-32, 36], [-30, 37], [-30, 37]], ['C', [-43, 31], [-39, 28], [-43, 31], [-36, 36], [-36, 32], [0, 0], [-36, 36], [-34, 37], [-34, 37]], ['C', [-43, 31], [-39, 28], [-43, 31], [-36, 36], [-36, 32], [-36, 36], [0, 0], [-34, 37], [-34, 37]], ['E', [-44, 29], [-42, 28], [-44, 29], [-37, 34], [-37, 30], [-37, 34], [-37, 34], [0, 0], [-37, 37]], ['E', [-44, 29], [-42, 28], [-44, 29], [-37, 34], [-37, 30], [-37, 34], [-37, 34], [-37, 37], [0, 0]]],472
6,[[0, 'C', 'D', 'E'], ['C', [0, 0], [-36, 32], [-34, 40]], ['D', [-32, 36], [0, 0], [-30, 37]], ['E', [-40, 34], [-37, 30], [0, 0]]],731
7,[[0, 'C', 'B', 'A', 'B', 'C', 'D', 'C', 'C', 'E', 'E'], ['C', [0, 0], [-43, 31], [-39, 28], [-43, 31], [-36, 36], [-36, 32], [-36, 36], [-36, 36], [-34, 37], [-34, 37]], ['B', [-31, 43], [0, 0], [-35, 35], [-38, 38], [-31, 43], [-31, 39], [-31, 43], [-31, 43], [-29, 44], [-29, 44]], ['A', [-28, 39], [-35, 35], [0, 0], [-35, 35], [-28, 39], [-28, 35], [-28, 39], [-28, 39], [-28, 42], [-28, 42]], ['B', [-31, 43], [-38, 38], [-35, 35], [0, 0], [-31, 43], [-31, 39], [-31, 43], [-31, 43], [-29, 44], [-29, 44]], ['C', [-36, 36], [-43, 31], [-39, 28], [-43, 31], [0, 0], [-36, 32], [-36, 36], [-36, 36], [-34, 37], [-34, 37]], ['D', [-32, 36], [-39, 31], [-35, 28], [-39, 31], [-32, 36], [0, 0], [-32, 36], [-32, 36], [-30, 37], [-30, 37]], ['C', [-36, 36], [-43, 31], [-39, 28], [-43, 31], [-36, 36], [-36, 32], [0, 0], [-36, 36], [-34, 37], [-34, 37]], ['C', [-36, 36], [-43, 31], [-39, 28], [-43, 31], [-36, 36], [-36, 32], [-36, 36], [0, 0], [-34, 37], [-34, 37]], ['E', [-37, 34], [-44, 29], [-42, 28], [-44, 29], [-37, 34], [-37, 30], [-37, 34], [-37, 34], [0, 0], [-37, 37]], ['E', [-37, 34], [-44, 29], [-42, 28], [-44, 29], [-37, 34], [-37, 30], [-37, 34], [-37, 34], [-37, 37], [0, 0]]],336
8,[[0, 'A', 'A', 'B', 'C', 'D', 'C', 'C', 'E', 'E'], ['A', [0, 0], [-33, 33], [-35, 35], [-28, 39], [-28, 35], [-28, 39], [-28, 39], [-28, 42], [-28, 42]], ['A', [-33, 33], [0, 0], [-35, 35], [-28, 39], [-28, 35], [-28, 39], [-28, 39], [-28, 42], [-28, 42]], ['B', [-35, 35], [-35, 35], [0, 0], [-31, 43], [-31, 39], [-31, 43], [-31, 43], [-29, 44], [-29, 44]], ['C', [-39, 28], [-39, 28], [-43, 31], [0, 0], [-36, 32], [-36, 36], [-36, 36], [-34, 37], [-34, 37]], ['D', [-35, 28], [-35, 28], [-39, 31], [-32, 36], [0, 0], [-32, 36], [-32, 36], [-30, 37], [-30, 37]], ['C', [-39, 28], [-39, 28], [-43, 31], [-36, 36], [-36, 32], [0, 0], [-36, 36], [-34, 37], [-34, 37]], ['C', [-39, 28], [-39, 28], [-43, 31], [-36, 36], [-36, 32], [-36, 36], [0, 0], [-34, 37], [-34, 37]], ['E', [-42, 28], [-42, 28], [-44, 29], [-37, 34], [-37, 30], [-37, 34], [-37, 34], [0, 0], [-37, 37]], ['E', [-42, 28], [-42, 28], [-44, 29], [-37, 34], [-37, 30], [-37, 34], [-37, 34], [-37, 37], [0, 0]]],282
9,[[0, 'C', 'D', 'E'], ['C', [0, 0], [-36, 32], [-34, 40]], ['D', [-32, 36], [0, 0], [-30, 37]], ['E', [-40, 34], [-37, 30], [0, 0]]],731
